# InfiniteCraft curated patch — verified neal.fun canon recipes.
# Format (unsorted OK, server sorts keys): INGREDIENT_A+INGREDIENT_B<TAB>Result Name<TAB>emoji
# These WIN over the 793K dataset. Sources: expitau/InfiniteCraftWiki scrape,
# infinite-craft-nealfun.fandom.com element pages, IGN + Dot Esports walkthroughs.
Dust+Dust	Sand	🏖️
Dust+Water	Mud	💩
Tsunami+Water	Ocean	🌊
Mountain+Water	Lake	🌊
Fire+Mountain	Volcano	🌋
Mountain+Wave	Tsunami	🌊
Mountain+Plant	Tree	🌳
Lake+Mountain	Fjord	🏞️
Mountain+Tree	Forest	🌲
Mountain+Ocean	Island	🏝️
Cloud+Mountain	Snow	❄️
Tsunami+Volcano	Earthquake	🌋
Wave+Wave	Tsunami	🌊
Shard+Shard	Gem	💎
Dust+Wave	Sand	🏖️
Dust+Storm	Tornado	🌪️
Plant+Steam	Tea	🍵
Storm+Water	Rain	🌧️
Lava+Wave	Stone	🪨
Steam+Wave	Surf	🏄
Smoke+Water	Fog	🌫️
Earth+Lake	Swamp	🐊
Earth+Lava	Stone	🪨
Earth+Mountain	Volcano	🌋
Earth+Smoke	Volcano	🌋
Earth+Tornado	Dust	🌫️
Earth+Volcano	Lava	🌋
Fire+Lake	Volcano	🌋
Fire+Lava	Volcano	🌋
Fire+Plant	Smoke	💨
Fire+Smoke	Volcano	🌋
Fire+Tornado	Volcano	🌋
Fire+Volcano	Lava	🌋
Fire+Wave	Steam	💨
Lake+Wind	Storm	⛈️
Lava+Wind	Volcano	🌋
Smoke+Wind	Cloud	☁️
Steam+Water	Cloud	☁️
Tornado+Wind	Tornado	🌪️
Volcano+Water	Lava	🌋
Water+Wave	Tsunami	🌊
Dust+Lake	Mud	💩
Dust+Lava	Volcano	🌋
Dust+Mountain	Volcano	🌋
Dust+Smoke	Dust	🌫️
Dust+Steam	Cloud	☁️
Dust+Tornado	Dust Storm	🌪️
Dust+Volcano	Ash	🌋
Lake+Lake	Ocean	🌊
Lake+Lava	Volcano	🌋
Lake+Smoke	Fog	🌫️
Lake+Steam	Cloud	☁️
Lake+Tornado	Tsunami	🌊
Lake+Volcano	Island	🏝️
Lake+Wave	Tsunami	🌊
Lava+Lava	Volcano	🌋
Lava+Mountain	Volcano	🌋
Lava+Plant	Volcano	🌋
Lava+Smoke	Volcano	🌋
Lava+Steam	Volcano	🌋
Lava+Tornado	Volcano	🌋
Lava+Volcano	Eruption	🌋
Mountain+Smoke	Volcano	🌋
Mountain+Steam	Volcano	🌋
Mountain+Tornado	Volcano	🌋
Mountain+Volcano	Lava	🌋
Plant+Plant	Tree	🌳
Plant+Tornado	Dust	🌫️
Plant+Volcano	Lava	🌋
Smoke+Smoke	Cloud	☁️
Smoke+Steam	Cloud	☁️
Smoke+Tornado	Volcano	🌋
Smoke+Volcano	Eruption	🌋
Smoke+Wave	Surf	🏄
Steam+Steam	Cloud	☁️
Steam+Tornado	Tornado	🌪️
Steam+Volcano	Lava	🌋
Tornado+Tornado	Hurricane	🌀
Tornado+Volcano	Eruption	🌋
Tornado+Wave	Tsunami	🌊
Volcano+Volcano	Mountain	🏔️
Volcano+Wave	Lava	🌋
Ash+Wind	Dust	🌫️
Avalanche+Fire	Volcano	🌋
Avalanche+Water	Ice	❄️
Cloud+Earth	Rain	🌧️
Cloud+Wind	Storm	⛈️
Dandelion+Fire	Ash	🌋
Earth+Eruption	Volcano	🌋
Earth+Ocean	Island	🏝️
Earth+Stone	Rock	🪨
Earth+Storm	Tornado	🌪️
Earth+Swamp	Mud	💩
Engine+Fire	Steam	💨
Engine+Water	Steam	💨
Eruption+Fire	Volcano	🌋
Eruption+Water	Lava	🌋
Eruption+Wind	Volcano	🌋
Fire+Fog	Smoke	💨
Fire+Ocean	Steam	💨
Fire+Sandstorm	Volcano	🌋
Fire+Stone	Lava	🌋
Fire+Storm	Volcano	🌋
Fire+Tree	Ash	🌋
Fire+Tsunami	Volcano	🌋
Fog+Wind	Cloud	☁️
Mud+Water	Swamp	🐊
Mud+Wind	Dust	🌫️
Ocean+Wind	Storm	⛈️
